r,xc,basis,e
0.65,M06-2X,6-31G,-2.09241796207062
0.45,M06-L,6-31G,-2.0366900088856164
0.55,LDA,6-31G,-1.8800526453158959
0.45,r2SCAN,6-31G,-2.0491768670090855
0.55,M05-2X,6-31G,-2.0836023345084405
0.8,SCAN,6-31G,-2.090799791207453
0.95,piM06-2X-DL,6-31G,-2.0198982007253052
0.55,TPSS,6-31G,-2.1215794778750716
0.95,TPSS,6-31G,-2.06556986279418
0.8500000000000001,PBE,6-31G,-2.0656578335942277
0.8500000000000001,M05-2X,6-31G,-2.048393700627054
0.7,M05-2X,6-31G,-2.08285104982557
0.95,PBE,6-31G,-2.041957917694814
0.55,PBE-2X,6-31G,-2.0999615036825983
0.8500000000000001,B3LYP,6-31G,-2.069993570568978
0.75,NN-PBE,6-31G,-2.099404493421689
0.8,PBE0,6-31G,-2.077346335295281
0.45,piM06-2X,6-31G,-2.018392455015984
0.55,PBE0,6-31G,-2.099055389818634
0.9,PBE,6-31G,-2.053445295905127
0.65,PBE0,6-31G,-2.104945955685799
0.95,PBE-2X,6-31G,-2.0458083822120763
0.9,piM06-2X,6-31G,-2.0285848805039945
0.8500000000000001,piM06-2X,6-31G,-2.039732302581113
0.55,PBE,6-31G,-2.0991031201113914
0.55,SCAN,6-31G,-2.108732822390735
0.7,r2SCAN,6-31G,-2.1102201651291335
0.95,B3LYP,6-31G,-2.046479647996927
0.65,LDA,6-31G,-1.895624345897164
0.8500000000000001,PBE0,6-31G,-2.0652968715159226
0.6,M06-L,6-31G,-2.103220808099862
0.6,TPSS,6-31G,-2.129155373259068
0.6,NN-PBE,6-31G,-2.116300465068858
0.45,B3LYP,6-31G,-2.045272431294524
0.95,SCAN0,6-31G,-2.0541407109466205
0.65,piM06-2X,6-31G,-2.0792670823331845
0.75,piM06-2X-DL,6-31G,-2.064240709004955
0.6,PBE-2X,6-31G,-2.106908937491111
0.45,M06-2X,6-31G,-2.0285944771966826
0.8,r2SCAN,6-31G,-2.090647089571945
0.8,LDA,6-31G,-1.879162833446475
0.7,B3LYP,6-31G,-2.103495085833231
0.5,piM06-2X,6-31G,-2.0560860205573395
0.65,SCAN,6-31G,-2.1162288612861575
0.6,B3LYP,6-31G,-2.1110664445563314
0.6,SCAN0,6-31G,-2.114056272561755
0.8,M06-L,6-31G,-2.074936528671458
0.55,B3LYP,6-31G,-2.1040487321222416
0.8500000000000001,LDA,6-31G,-1.8701417445992083
0.9,SCAN0,6-31G,-2.0650088069779606
0.55,M06-2X,6-31G,-2.0871979534982907
0.7,piM06-2X,6-31G,-2.0725616421872326
0.95,r2SCAN,6-31G,-2.056493809960369
0.55,r2SCAN,6-31G,-2.1081929658375955
0.45,FCI / SUMR-CCSD,6-31G,-1.9859099435879288
0.5,FCI / SUMR-CCSD,6-31G,-2.0303189469746714
0.55,FCI / SUMR-CCSD,6-31G,-2.054971858377685
0.6,FCI / SUMR-CCSD,6-31G,-2.0667917391122157
0.65,FCI / SUMR-CCSD,6-31G,-2.0708442744347546
0.7,FCI / SUMR-CCSD,6-31G,-2.0696622908702307
0.75,FCI / SUMR-CCSD,6-31G,-2.06425890614596
0.8,FCI / SUMR-CCSD,6-31G,-2.056829273084402
0.85,FCI / SUMR-CCSD,6-31G,-2.0487242024393235
0.9,FCI / SUMR-CCSD,6-31G,-2.040450278839692
0.95,FCI / SUMR-CCSD,6-31G,-2.032345214635941
1.0,FCI / SUMR-CCSD,6-31G,-2.025084428087608
0.45,CCSD,6-31G,-1.9811819867851876
0.5,CCSD,6-31G,-2.027110695748878
0.55,CCSD,6-31G,-2.0531144436709683
0.6,CCSD,6-31G,-2.066622886157663
0.65,CCSD,6-31G,-2.072195123836486
0.7,CCSD,6-31G,-2.072363976791039
0.75,CCSD,6-31G,-2.0688180132148126
0.8,CCSD,6-31G,-2.063245775535989
0.85,CCSD,6-31G,-2.0566604072471946
0.9,CCSD,6-31G,-2.0497373330492947
0.95,CCSD,6-31G,-2.043320837039035
1.0,CCSD,6-31G,-2.0367354558675856
0.45,PBE_ref,6-31G,-2.0399437135347065
0.5,PBE_ref,6-31G,-2.0792870509889387
0.55,PBE_ref,6-31G,-2.0990431558553224
0.6,PBE_ref,6-31G,-2.1064727889168804
0.65,PBE_ref,6-31G,-2.105459658306909
0.7,PBE_ref,6-31G,-2.099380861764428
0.75,PBE_ref,6-31G,-2.08975610164572
0.8,PBE_ref,6-31G,-2.077936214469862
0.85,PBE_ref,6-31G,-2.0656097555476918
