r,xc,basis,e
3.40,DM21,aug-cc-pVTZ,0.029819757274923475
3.50,DM21,aug-cc-pVTZ,-0.047670415396293464
3.60,DM21,aug-cc-pVTZ,-0.12218000341773205
3.70,DM21,aug-cc-pVTZ,-0.19876832093114416
3.80,DM21,aug-cc-pVTZ,-0.27305114382339024
3.90,DM21,aug-cc-pVTZ,-0.3369151412584781
4.00,DM21,aug-cc-pVTZ,-0.3913039266932854
4.10,DM21,aug-cc-pVTZ,-0.433997200295523
4.20,DM21,aug-cc-pVTZ,-0.46871467430148783
4.30,DM21,aug-cc-pVTZ,-0.499563006969991
4.40,DM21,aug-cc-pVTZ,-0.5241455887814332
4.50,DM21,aug-cc-pVTZ,-0.5594944851148478
4.60,DM21,aug-cc-pVTZ,-0.5812185206426763
4.70,DM21,aug-cc-pVTZ,-0.5991916630735101
4.80,DM21,aug-cc-pVTZ,-0.6367472557213363
4.90,DM21,aug-cc-pVTZ,-0.6631732206794556
5.00,DM21,aug-cc-pVTZ,-0.6712426909122415
5.10,DM21,aug-cc-pVTZ,-0.709855194651853
5.20,DM21,aug-cc-pVTZ,-0.7309294886498106
5.30,DM21,aug-cc-pVTZ,-0.7150640830706756
5.40,DM21,aug-cc-pVTZ,-0.7637320132069347
5.50,DM21,aug-cc-pVTZ,-0.7858259282053734
5.60,DM21,aug-cc-pVTZ,-0.8108201010591203
5.70,DM21,aug-cc-pVTZ,-0.8290326015414715
5.80,DM21,aug-cc-pVTZ,-0.8333075940152939
1.50,PBE0,aug-cc-pVTZ,0.31290709757230406
1.60,PBE0,aug-cc-pVTZ,0.2734970416098701
1.70,PBE0,aug-cc-pVTZ,0.27123692698087964
1.80,PBE0,aug-cc-pVTZ,0.2965682381066941
1.85,PBE0,aug-cc-pVTZ,0.3175549816850314
1.90,PBE0,aug-cc-pVTZ,0.3408774747583365
1.95,PBE0,aug-cc-pVTZ,0.3671372362700396
2.00,PBE0,aug-cc-pVTZ,0.39290665283857606
2.05,PBE0,aug-cc-pVTZ,0.4172242519445035
2.10,PBE0,aug-cc-pVTZ,0.4381842671752203
2.15,PBE0,aug-cc-pVTZ,0.45529260184252607
2.20,PBE0,aug-cc-pVTZ,0.4667671931069144
2.30,PBE0,aug-cc-pVTZ,0.47241220793900496
2.40,PBE0,aug-cc-pVTZ,0.45669121736330354
2.50,PBE0,aug-cc-pVTZ,0.42171071471244304
2.60,PBE0,aug-cc-pVTZ,0.37277475603012533
2.70,PBE0,aug-cc-pVTZ,0.31396113525115155
2.80,PBE0,aug-cc-pVTZ,0.24808230577119694
2.90,PBE0,aug-cc-pVTZ,0.17790354330936253
3.00,PBE0,aug-cc-pVTZ,0.10165091052542508
3.10,PBE0,aug-cc-pVTZ,0.019484850200054638
3.20,PBE0,aug-cc-pVTZ,-0.07255705120953948
3.30,PBE0,aug-cc-pVTZ,-0.1765306712942163
3.40,PBE0,aug-cc-pVTZ,-0.2911477666059774
3.50,PBE0,aug-cc-pVTZ,-0.41687911551417756
3.60,PBE0,aug-cc-pVTZ,-0.5511741315040428
3.70,PBE0,aug-cc-pVTZ,-0.6918500095076556
3.80,PBE0,aug-cc-pVTZ,-0.8381206789689069
3.90,PBE0,aug-cc-pVTZ,-0.9873112768723002
4.00,PBE0,aug-cc-pVTZ,-1.1387826646658894
4.10,PBE0,aug-cc-pVTZ,-1.2924900209458947
4.20,PBE0,aug-cc-pVTZ,-1.4462130639289201
4.30,PBE0,aug-cc-pVTZ,-1.600076814614865
4.40,PBE0,aug-cc-pVTZ,-1.7538472975185275
4.50,PBE0,aug-cc-pVTZ,-1.9063875252266929
4.60,PBE0,aug-cc-pVTZ,-2.0578826152170624
4.70,PBE0,aug-cc-pVTZ,-2.2075671786152924
4.80,PBE0,aug-cc-pVTZ,-2.355150884787842
4.90,PBE0,aug-cc-pVTZ,-2.5006579491479544
5.00,PBE0,aug-cc-pVTZ,-2.6437348748449967
5.10,PBE0,aug-cc-pVTZ,-2.7854928329489175
5.20,PBE0,aug-cc-pVTZ,-2.924692853357865
5.30,PBE0,aug-cc-pVTZ,-3.061482661442735
5.40,PBE0,aug-cc-pVTZ,-3.1952293162005074
5.50,PBE0,aug-cc-pVTZ,-3.325856450964469
5.60,PBE0,aug-cc-pVTZ,-3.4533280895744807
5.70,PBE0,aug-cc-pVTZ,-3.577735451655381
5.80,PBE0,aug-cc-pVTZ,-3.699194435167356
1.50,PBE-2X,aug-cc-pVTZ,0.7911024364244557
1.60,PBE-2X,aug-cc-pVTZ,0.6103931701031708
1.70,PBE-2X,aug-cc-pVTZ,0.5216203044660617
1.80,PBE-2X,aug-cc-pVTZ,0.4968983720432725
1.85,PBE-2X,aug-cc-pVTZ,0.5022883126576012
1.90,PBE-2X,aug-cc-pVTZ,0.514680008471597
1.95,PBE-2X,aug-cc-pVTZ,0.533470723418386
2.00,PBE-2X,aug-cc-pVTZ,0.5544893150958927
2.05,PBE-2X,aug-cc-pVTZ,0.576191684242648
2.10,PBE-2X,aug-cc-pVTZ,0.5961450953659408
2.15,PBE-2X,aug-cc-pVTZ,0.6133576955149813
2.20,PBE-2X,aug-cc-pVTZ,0.6257692446163041
2.30,PBE-2X,aug-cc-pVTZ,0.6348110062911658
2.40,PBE-2X,aug-cc-pVTZ,0.6232976759586037
2.50,PBE-2X,aug-cc-pVTZ,0.5926376211082705
2.60,PBE-2X,aug-cc-pVTZ,0.5479389520380433
2.70,PBE-2X,aug-cc-pVTZ,0.49357264818093327
2.80,PBE-2X,aug-cc-pVTZ,0.4336234111341941
2.90,PBE-2X,aug-cc-pVTZ,0.37266985220242077
3.00,PBE-2X,aug-cc-pVTZ,0.3118027929305658
3.10,PBE-2X,aug-cc-pVTZ,0.2548540802844226
3.20,PBE-2X,aug-cc-pVTZ,0.20175199850554293
3.30,PBE-2X,aug-cc-pVTZ,0.15316391041175415
3.40,PBE-2X,aug-cc-pVTZ,0.11117525069593803
